player_id,player_name,team_name,competicion,num_partidos,minutos_jugados,toques_totales,toques_en_campo_rival,toques_en_area,pases,pases_completados,pases_progresivos,pases_ult_tercio,pases_al_area,pases_largos,pases_clave,asistencias,centros,through_balls,pases_hacia_adelante,pases_bajo_presion,presiones,recuperaciones,intercepciones,bloqueos,duelos_ter,duelos_ter_ganados,duelos_aereos,aereos_ganados,acciones_agresivas,pressure_regains,acciones_defensivas,acciones_defensivas_campo_rival,dribbled_past,despejes,tiros_bloqueados,carries,carries_prog,deep_progressions,regates,regates_comp,dispossessions,tiros,tiros_puerta,goles,xa_real,xg,np_xg,penaltis_ganados,faltas_ganadas,recibidos_de_espaldas,posicion_principal,pct_toques_en_campo_rival,pct_toques_en_area,pct_pases,pct_pases_prog,pct_pases_ult_tercio,pct_pases_al_area,pct_pases_largos,pct_pases_clave,pct_pases_bajo_presion,pct_regates,pct_duelos_ter,pct_aereos,pct_duelos_total,ratio_intercepciones_vs_entradas,ratio_centros_vs_pases_al_area,ratio_tiros_vs_pases,xg_por_tiro,distancia_media_pases,distancia_media_tiros,posicion_media_x,posicion_media_y,std_posicion_x,std_posicion_y,velocidad_cond_m_s,rel_pases,rel_presiones,rel_carries,rel_duelos,rel_tiros,rel_xg,rel_pases_comp,toques_totales_p90,toques_en_campo_rival_p90,toques_en_area_p90,pases_p90,pases_completados_p90,pases_progresivos_p90,pases_ult_tercio_p90,pases_al_area_p90,pases_largos_p90,pases_clave_p90,asistencias_p90,centros_p90,through_balls_p90,pases_hacia_adelante_p90,pases_bajo_presion_p90,presiones_p90,recuperaciones_p90,intercepciones_p90,bloqueos_p90,duelos_ter_p90,duelos_ter_ganados_p90,duelos_aereos_p90,aereos_ganados_p90,acciones_agresivas_p90,pressure_regains_p90,acciones_defensivas_p90,acciones_defensivas_campo_rival_p90,dribbled_past_p90,despejes_p90,tiros_bloqueados_p90,carries_p90,carries_prog_p90,deep_progressions_p90,regates_p90,regates_comp_p90,dispossessions_p90,tiros_p90,tiros_puerta_p90,goles_p90,xa_real_p90,xg_p90,np_xg_p90,penaltis_ganados_p90,faltas_ganadas_p90,recibidos_de_espaldas_p90,crosses_p90,tackles_p90,challenge_ratio,pct_pases_comp,obv_pass_p90,obv_dribble_carry_p90,obv_defensive_p90,grupo_pos,cluster_fa,grupo_pos_clustering,cluster_final,cluster_alternativo_fa_pam,cluster_mas_cercano_fa_pam,distancia_cluster_asignado_fa_pam,distancia_cluster_alternativo_fa_pam,margen_frontera_fa_pam,score_hibrida_fa_pam,score_anomalia_fa_pam,es_hibrida_fa_pam,es_anomala_fa_pam,tipo_singular_fa_pam
4649.0,Esme Beth Morgan,England Women's,Eurocopa_2025,2,182.92000000000002,278,51,0,96,87,28,7,0,10,0,0,0,0,76,10,11,6,0,4,9,1,7,2,20,1,19,5,1,8,0,70,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,Left Center Back,0.17935829421650007,0.0,0.9030177126612726,0.29166666666666663,0.06537466287630293,0.0,0.09770209198921204,0.0,0.09770209198921204,,0.11207085064509074,0.30603542532254535,0.19622421459290032,0.0,,0.0,,19.402714197699357,,42.30131566872376,46.81560569334876,19.396230049047883,16.69024498197151,3.2397235816290264,0.08262536484290028,0.03629295907792565,0.07746824356245914,0.10631303116672286,0.0,0.0,0.07522078164567056,136.78110649464247,25.092936802973973,0.0,47.23376339383337,42.805598075661486,13.776514323201397,3.4441285808003492,0.0,4.9201836868576425,0.0,0.0,0.0,0.0,37.393396020118075,4.9201836868576425,5.412202055543407,2.9521102121145857,0.0,1.9680734747430568,4.428165318171878,0.4920183686857642,3.4441285808003492,0.9840367373715284,9.840367373715285,0.4920183686857642,9.348349005029519,2.4600918434288213,0.4920183686857642,3.9361469494861137,0.0,34.44128580800349,3.9361469494861137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4920183686857642,0.11207085064509074,0.9030177126612726,13.776514323201397,3.9361469494861137,9.348349005029519,CB,1,CB,1,0,1,6.0608,6.1107,0.0082,98.2,94.9,True,True,hibrida_anomala
4984.0,Rachel Corsie,Scotland Women's,Mundial_2019,3,281.0,491,35,7,156,132,68,11,0,34,0,0,0,0,121,20,20,15,2,5,10,6,8,5,32,5,32,5,0,19,0,130,22,0,1,1,0,2,0,0.0,0.0,0.106120485,0.106120485,0,1,0,Right Center Back,0.07652252310424709,0.016069606610725592,0.8460169180364909,0.44719750889679716,0.07048099192227306,0.0,0.2223909789301248,0.0,0.13028370897587976,1.0,0.4436536180308422,0.6109134045077105,0.5551601423487544,0.08509292210359826,,0.014477066034005536,0.0531106051058201,23.194164160969184,11.083353058536742,34.355788793802255,53.863155907712844,18.889727150078752,11.993723821043401,3.2522761958465822,0.11897393099639807,0.04221908972798653,0.11330602391755927,0.10218439079649044,0.06790323160429923,0.041376863358896745,0.1004722102624388,157.25978647686833,11.209964412811388,2.2419928825622777,49.9644128113879,42.27758007117438,21.77935943060498,3.5231316725978647,0.0,10.88967971530249,0.0,0.0,0.0,0.0,38.754448398576514,6.405693950177937,6.405693950177937,4.804270462633452,0.6405693950177935,1.6014234875444842,3.2028469750889683,1.9217081850533808,2.562277580071174,1.6014234875444842,10.249110320284696,1.6014234875444842,10.249110320284696,1.6014234875444842,0.0,6.08540925266904,0.0,41.637010676156585,7.0462633451957295,0.0,0.32028469750889677,0.32028469750889677,0.0,0.6405693950177935,0.0,0.0,0.0,0.033988767437722424,0.033988767437722424,0.0,0.32028469750889677,0.0,0.0,1.9217081850533808,0.4436536180308422,0.8460169180364909,21.77935943060498,7.0462633451957295,10.249110320284696,CB,1,CB,1,0,1,3.6361,3.7479,0.0298,93.4,65.2,True,False,hibrida
5078.0,Alanna Stephanie Kennedy,Australia Women's,Mundial_2019,9,938.87,1830,215,62,588,519,269,62,0,103,2,0,0,1,469,66,38,42,8,18,26,4,64,44,72,5,94,15,4,79,0,476,120,3,1,1,0,12,1,1.0,0.16236709500000002,1.1817257333,1.1817257333,0,3,0,Left Center Back,0.12383453598437735,0.040286069889826935,0.8575407441896354,0.453811841881807,0.10319487171459017,0.0,0.17642499463834818,0.0029543572374735086,0.12958721221945482,1.0,0.15298564944837476,0.700601944024356,0.56942328370131,0.08989516710633585,,0.022711706806733647,0.08630838164727707,23.76753508460818,9.894501592662714,39.50847541522502,50.88612766147286,21.678014254298624,12.16260506203018,2.8958850114541494,0.12334629562461626,0.031894760900632056,0.11944929093232524,0.08961311138416357,0.0771456443713592,0.05049071557352193,0.10741830830439085,175.42364757634178,20.60988209230245,5.943314835919776,56.365631024529485,49.75129677165102,25.786317594555154,5.943314835919776,0.0,9.873571420963499,0.19171983341676696,0.0,0.0,0.09585991670838348,44.95830093623185,6.32675450275331,3.6426768349185727,4.026116501752106,0.7668793336670678,1.7254785007509028,2.4923578344179704,0.3834396668335339,6.135034669336543,4.217836335168873,6.901914003003611,0.4792995835419174,9.010832170588047,1.4378987506257521,0.3834396668335339,7.572933419962295,0.0,45.629320353190536,11.503190005006017,0.28757975012515047,0.09585991670838348,0.09585991670838348,0.0,1.1503190005006019,0.09585991670838348,0.09585991670838348,0.01556449620288219,0.11328013036629139,0.11328013036629139,0.0,0.28757975012515047,0.0,0.0,0.3834396668335339,0.15298564944837476,0.8575407441896354,25.786317594555154,11.503190005006017,9.010832170588047,CB,1,CB,1,0,1,3.9632,3.9854,0.0056,98.8,70.3,True,False,hibrida
10119.0,Glódís Perla Viggósdóttir,Iceland Women's,Eurocopa_2022,6,520.15,682,93,42,222,173,94,34,2,58,1,0,0,0,147,39,48,20,8,11,17,8,28,20,73,3,56,17,2,33,1,139,29,0,1,0,1,8,1,1.0,0.10174167,1.348775981,0.565275981,0,0,1,Right Center Back,0.14100403448514223,0.07293004320332845,0.7846588660764109,0.42140133258873463,0.15257612695277098,0.011030426378611775,0.2662244387620643,0.005767567047966933,0.17709950575588698,0.0,0.4085680412701464,0.7686404562786376,0.6463190563161726,0.1082380082668461,0.0,0.045001949852597777,0.2287186785753138,26.688152546427492,5.440339528105244,38.12270375772974,49.16851056138191,26.03053221443626,14.53759119732222,2.8836123978673984,0.11119605523898175,0.052853533312058665,0.10312190820359941,0.0820227473397408,0.13198344799805917,0.17395417679983302,0.08687627980952958,118.00442180140345,16.091512063827743,7.267134480438336,38.41199653945977,29.933672978948383,16.26453907526675,5.882918388926272,0.34605402287801595,10.035566663462463,0.17302701143900798,0.0,0.0,0.0,25.434970681534175,6.748053446121311,8.305296549072382,3.46054022878016,1.3842160915120638,1.9032971258290878,2.941459194463136,1.3842160915120638,4.844756320292224,3.46054022878016,12.630971835047584,0.5190810343170239,9.689512640584448,2.941459194463136,0.34605402287801595,5.709891377487264,0.17302701143900798,24.05075459002211,5.0177833317312315,0.0,0.17302701143900798,0.0,0.17302701143900798,1.3842160915120638,0.17302701143900798,0.17302701143900798,0.017604057098913776,0.2333746770931462,0.09780801363068346,0.0,0.0,0.17302701143900798,0.0,1.3842160915120638,0.4085680412701464,0.7846588660764109,16.26453907526675,5.0177833317312315,9.689512640584448,CB,1,CB,1,0,1,2.936,2.9632,0.0092,98.0,42.0,True,False,hibrida
25556.0,Kathellen Sousa Feitoza,Brazil Women's,Mundial_2019,5,479.93,743,88,13,227,176,121,22,1,48,0,0,0,0,176,24,44,28,2,7,14,4,22,14,60,5,51,7,12,19,0,183,51,1,3,3,0,2,0,0.0,0.0,0.15605299,0.15605299,0,2,0,Right Center Back,0.10123287710557001,0.01737130470808695,0.7557292904431074,0.5359830304277469,0.07730152205173754,0.004398789638303734,0.23026686923985645,0.0,0.10608513696108544,1.0,0.32212336521298246,0.706524661830644,0.5821960146965878,0.032990922287278006,0.0,0.012905107801339308,0.078026495,24.223408989301863,8.068912788974073,36.349034364477085,52.396854334498414,20.021483349709676,16.32016960237348,3.251812978734119,0.09123679119828283,0.06756209843787825,0.09038804956502712,0.0748555988009768,0.036368940167410775,0.01817881651708147,0.06956143882795109,139.33281936949138,16.50240660096264,2.4378555205967536,42.568707936574086,33.00481320192528,22.690809076323628,4.12560165024066,0.1875273477382118,9.001312691434167,0.0,0.0,0.0,0.0,33.00481320192528,4.500656345717084,8.25120330048132,5.250765736669931,0.3750546954764236,1.3126914341674827,2.6253828683349654,0.7501093909528472,4.12560165024066,2.6253828683349654,11.25164086429271,0.937636738691059,9.563894734648803,1.3126914341674827,2.250328172858542,3.5630196070260247,0.0,34.317504636092764,9.563894734648803,0.1875273477382118,0.5625820432146355,0.5625820432146355,0.0,0.3750546954764236,0.0,0.0,0.0,0.02926420332131769,0.02926420332131769,0.0,0.3750546954764236,0.0,0.0,0.7501093909528472,0.32212336521298246,0.7557292904431074,22.690809076323628,9.563894734648803,9.563894734648803,CB,1,CB,1,0,1,2.3661,2.3883,0.0093,97.9,21.7,True,False,hibrida
49972.0,Martina Lenzini,Italy Women's,Mundial_2023,5,386.43,416,76,2,141,105,77,13,4,25,2,0,3,0,108,20,34,10,2,6,4,3,2,1,40,3,22,11,0,11,0,93,13,2,1,0,1,0,0,0.0,0.167219507,0.0,0.0,0,2,4,Right Center Back,0.17158455022126015,0.006256557511030048,0.736397225563324,0.5227300075572039,0.08770462512236284,0.028012723587707906,0.17613979640867677,0.014206604817418788,0.13968029863158843,0.0,0.5189069831631244,0.5267445017648655,0.6866798490023369,0.04422769736021813,0.7770301386685771,0.0,,21.917552372821184,,38.004850255628966,62.110240240343536,21.710582689928845,13.946225147201776,3.2206823561514537,0.07396896263891611,0.04365381835441498,0.06750354013930832,0.04618020512555099,0.0,0.0,0.05451093054646402,96.88688766400124,17.700489092461765,0.4658023445384675,32.83906528996196,24.454623088269543,17.933390264731,3.0277152395000386,0.931604689076935,5.822529306730844,0.4658023445384675,0.0,0.6987035168077013,0.0,25.153326605077247,4.658023445384675,7.918639857153948,2.3290117226923375,0.4658023445384675,1.3974070336154025,0.931604689076935,0.6987035168077013,0.4658023445384675,0.23290117226923376,9.31604689076935,0.6987035168077013,5.123825789923142,2.561912894961571,0.0,2.561912894961571,0.0,21.65980902103874,3.0277152395000386,0.4658023445384675,0.23290117226923376,0.0,0.23290117226923376,0.0,0.0,0.0,0.038945619206583335,0.0,0.0,0.0,0.4658023445384675,0.931604689076935,0.6987035168077013,0.6987035168077013,0.5189069831631244,0.736397225563324,17.933390264731,3.0277152395000386,5.123825789923142,CB,0,CB,0,1,0,3.315,3.3527,0.0113,97.5,50.7,True,False,hibrida
182466.0,Lauren Eduarda Leal Costa,Brazil Women's,Mundial_2023,2,195.68,336,72,5,112,92,64,15,0,21,0,0,0,0,95,14,13,7,1,4,4,0,12,9,18,0,16,1,0,11,0,84,21,2,1,1,0,1,0,0.0,0.0,0.042497,0.042497,0,1,0,Right Center Back,0.18052484640254146,0.011394775806059534,0.770787269603812,0.5731900080137804,0.14570817859215673,0.0,0.18672937149397106,0.0,0.13270628506028945,1.0,0.0,0.7576509753533466,0.5843213409648406,0.03529085387221119,,0.006836865483635721,0.042497,24.359583718343274,0.42426406871192446,38.20356529874109,53.78705452181536,20.45504332501382,12.496260699134353,2.9753664146714605,0.10534879617061742,0.03450242407724011,0.09578027018608179,0.05177362954715471,0.015331152902698283,0.006047380907807631,0.08317544753315917,154.53802125919867,33.11529026982829,2.2996729354047423,51.51267375306623,42.31398201144726,29.435813573180702,6.899018806214228,0.0,9.658626328699917,0.0,0.0,0.0,0.0,43.693785772690106,6.439084219133279,5.97914963205233,3.2195421095666394,0.4599345870809485,1.839738348323794,1.839738348323794,0.0,5.519215044971382,4.139411283728537,8.278822567457073,0.0,7.358953393295176,0.4599345870809485,0.0,5.059280457890433,0.0,38.63450531479967,9.658626328699917,0.919869174161897,0.4599345870809485,0.4599345870809485,0.0,0.4599345870809485,0.0,0.0,0.0,0.01954584014717907,0.01954584014717907,0.0,0.4599345870809485,0.0,0.0,0.0,0.0,0.770787269603812,29.435813573180702,9.658626328699917,7.358953393295176,CB,0,CB,0,1,0,3.3433,3.497,0.044,90.2,52.9,True,False,hibrida
401808.0,Fabiola Villalobos Morales,Costa Rica Women's,Mundial_2023,3,290.43,467,38,13,137,95,64,14,1,30,1,0,0,0,101,9,42,18,4,10,4,1,3,2,50,8,36,5,7,30,0,99,30,0,1,1,0,4,1,0.0,0.1361605,0.335009534,0.335009534,0,4,1,Right Center Back,0.08420754895351637,0.033737931559021335,0.5705090851031156,0.5514408699879654,0.10862435266821256,0.008694005440209346,0.27680654704094854,0.008694005440209346,0.09784587313258246,1.0,0.16256929380573634,0.7507522567703109,0.3261198911958131,0.07373245755279698,0.0,0.03477602176083738,0.0837523835,26.655876847905805,7.945204310404863,31.641478120017283,53.64670581764631,18.903642129893758,12.756523173688505,2.9081689671328346,0.12164499549927535,0.0671445540687381,0.11150145887224203,0.04456074506190446,0.08694005440209344,0.050665152039002924,0.07379025231025924,144.71645491168266,11.77564301208553,4.028509451502943,42.45429191199256,29.439107530213818,19.832661915091414,4.3383947939262475,0.30988534242330334,9.296560272699102,0.30988534242330334,0.0,0.0,0.0,31.29841958475364,2.78896808180973,13.015184381778742,5.57793616361946,1.2395413696932134,3.098853424233034,1.2395413696932134,0.30988534242330334,0.92965602726991,0.6197706848466067,15.494267121165167,2.4790827393864268,11.15587232723892,1.549426712116517,2.1691973969631237,9.296560272699102,0.0,30.678648899907035,9.296560272699102,0.0,0.30988534242330334,0.30988534242330334,0.0,1.2395413696932134,0.30988534242330334,0.0,0.0421941431670282,0.1038145441586613,0.1038145441586613,0.0,1.2395413696932134,0.30988534242330334,0.0,0.30988534242330334,0.16256929380573634,0.5705090851031156,19.832661915091414,9.296560272699102,11.15587232723892,CB,0,CB,0,1,0,3.7365,3.7487,0.0033,99.3,67.4,True,False,hibrida
402119.0,Bongeka Gamede,South Africa Women's,Mundial_2023,4,391.0,501,129,4,99,58,59,13,0,26,1,0,0,0,79,15,129,35,5,10,27,13,11,4,161,5,77,45,3,20,0,83,10,0,6,2,4,2,0,0.0,0.029318942,0.134701767,0.134701767,0,2,6,Left Center Back,0.22783098244826339,0.00845694799658994,0.5747524427831333,0.6073709751459112,0.14141255164273067,0.0,0.27759197324414714,0.009718670076726343,0.14966227293593024,0.6180904522613065,0.4602849835586409,0.42710997442455245,0.45203994641334794,0.03614191539816838,,0.01830939733753033,0.06687896444,23.051378683996333,6.477948333521783,42.04506545253214,47.32800498001525,20.506575925926665,17.56447761514698,3.217825132960826,0.07820819380062656,0.13373448593940981,0.0882397265196482,0.1526114517340277,0.04105187225391829,0.02804211348931689,0.04541852341316391,115.31969309462916,29.69309462915601,0.9207161125319694,22.787723785166243,13.350383631713555,13.580562659846546,2.9923273657289005,0.0,5.984654731457801,0.23017902813299235,0.0,0.0,0.0,18.184143222506396,3.452685421994885,29.69309462915601,8.05626598465473,1.1508951406649617,2.3017902813299234,6.2148337595907925,2.9923273657289005,2.5319693094629154,0.9207161125319694,37.05882352941176,1.1508951406649617,17.72378516624041,10.358056265984654,0.690537084398977,4.603580562659847,0.0,19.104859335038363,2.3017902813299234,0.0,1.381074168797954,0.4603580562659847,0.9207161125319694,0.4603580562659847,0.0,0.0,0.006748605575447571,0.031005521815856776,0.031005521815856776,0.0,0.4603580562659847,1.381074168797954,0.0,2.9923273657289005,0.4602849835586409,0.5747524427831333,13.580562659846546,2.3017902813299234,17.72378516624041,CB,1,CB,1,0,1,8.9685,9.0313,0.007,98.5,99.3,True,True,hibrida_anomala
10088.0,Katrine Veje,Denmark Women's,Eurocopa_2022,10,933.0,1800,610,1,623,451,276,72,40,95,4,1,16,0,431,67,100,85,16,16,25,11,18,12,141,7,142,55,4,32,0,445,131,22,11,4,7,4,2,0.0,0.347683906,0.201355281,0.201355281,0,8,38,Left Back,0.31069437076516765,0.00039681565662763965,0.6962772625321958,0.43959909401959785,0.10586597215244792,0.07167994098652414,0.16082041708237907,0.00448879732813401,0.11467180083220647,0.2893827160493827,0.4514396723319553,0.6549463647199046,0.5712973681076575,0.12513052912827585,0.43896391568417287,0.004467887809048977,0.04087068000352733,20.269556417644186,15.112464772612709,48.56251140680701,64.42424482764426,25.310537239809264,12.488618953451674,3.4776645129045325,0.14491111833541892,0.056942312052566765,0.1380239880230739,0.06429566679743136,0.023740404684726907,0.010287404469435026,0.10175638476804585,173.63344051446947,58.842443729903536,0.09646302250803858,60.09646302250804,43.5048231511254,26.623794212218648,6.945337620578779,3.8585209003215435,9.163987138263666,0.3858520900321543,0.09646302250803858,1.5434083601286173,0.0,41.575562700964625,6.463022508038585,9.646302250803858,8.19935691318328,1.5434083601286173,1.5434083601286173,2.4115755627009645,1.0610932475884245,1.7363344051446947,1.157556270096463,13.60128617363344,0.6752411575562701,13.697749196141478,5.305466237942122,0.3858520900321543,3.0868167202572345,0.0,42.926045016077175,12.636655948553054,2.122186495176849,1.0610932475884245,0.3858520900321543,0.6752411575562701,0.3858520900321543,0.19292604501607716,0.0,0.03353864045016077,0.019423339003215433,0.019423339003215433,0.0,0.7717041800643086,3.665594855305466,1.5434083601286173,1.0610932475884245,0.4514396723319553,0.6962772625321958,26.623794212218648,12.636655948553054,13.697749196141478,LAT,1,LAT,1,0,1,3.8665,4.0804,0.0524,88.4,88.1,True,False,hibrida
